,start_time,interval,kd_direction,sl_atr,tp_atr,sl_determine,Profit,Fee,Max_Profit,Max_Loss,Max_Entry,Max_Position,Profit_%
218,1640999048000,1h,Up,1,5,Close,9954.95,1175.89,1976.47,-178.47,14,37390.2,266.24%
281,1640999048000,1h,Down,3,7,High,9927.02,1356.46,11057.18,-706.07,40,95182.83,104.29%
414,1609463048000,1h,Down,2,3,Close,9921.9,2635.94,4108.76,-808.39,15,34741.26,285.59%
226,1640999048000,1h,Up,2,7,Close,9812.97,1175.96,3445.48,-425.84,23,58726.31,167.10%
272,1640999048000,1h,Down,2,5,Close,9701.27,1356.57,4456.46,-463.84,17,26377.13,367.79%
192,1640999048000,15m,Down,1,3,Close,9617.19,5184.46,1393.83,-131.51,12,35151.28,273.59%
216,1640999048000,1h,Up,1,3,Close,9605.23,1176.07,1167.7,-211.07,11,12016.49,799.34%
429,1609463048000,1h,Down,5,5,High,9599.93,2636.1,13497.29,-2205.68,38,83455.44,115.03%
377,1609463048000,1h,Up,3,7,High,9451.33,2322.62,14055.15,-1384.77,31,75024.37,125.98%
274,1640999048000,1h,Down,2,7,Close,9382.34,1356.73,3420.08,-463.84,26,66194.8,141.74%
234,1640999048000,1h,Up,5,3,Close,9310.1,1176.21,1342.99,-1317.93,18,35773.15,260.25%
249,1640999048000,1h,Any,2,5,High,9297.1,2537.64,3118.55,-776.45,29,81285.54,114.38%
146,1640999048000,15m,Up,1,5,Close,9237.16,4519.01,1018.35,-80.35,17,26114.05,353.72%
353,1609463048000,15m,Down,3,7,High,9018.23,10636.69,7602.52,-1482.12,36,88677.28,101.70%
375,1609463048000,1h,Up,3,5,High,8980.37,2322.85,14799.61,-1384.77,24,61046.47,147.11%
156,1640999048000,15m,Up,3,3,Close,8882.27,4517.4,1275.5,-432.12,17,19182.43,463.04%
279,1640999048000,1h,Down,3,5,High,8843.23,1357.0,4465.03,-717.03,29,65456.12,135.10%
154,1640999048000,15m,Up,2,7,Close,8824.34,4517.43,2158.66,-287.24,22,33492.95,263.47%
264,1640999048000,1h,Down,1,3,Close,8806.04,1357.02,1178.66,-297.35,10,27468.48,320.59%
224,1640999048000,1h,Up,2,5,Close,8254.94,1176.74,3445.48,-425.84,23,58726.31,140.57%
416,1609463048000,1h,Down,2,5,Close,8107.18,2636.84,4456.46,-808.39,17,53908.37,150.39%
189,1640999048000,15m,Any,5,5,High,8043.38,9705.3,13394.93,-2095.49,95,111056.36,72.43%
370,1609463048000,1h,Up,2,7,Close,7806.83,2323.44,4218.25,-794.85,23,58726.31,132.94%
152,1640999048000,15m,Up,2,5,Close,7805.78,4517.94,1778.66,-287.24,22,33492.95,233.06%
366,1609463048000,1h,Up,2,3,Close,7562.84,2323.56,2698.92,-794.85,11,12016.49,629.37%
335,1609463048000,15m,Any,5,7,High,7438.63,19919.01,20722.66,-5003.37,115,295387.38,25.18%
368,1609463048000,1h,Up,2,5,Close,7367.8,2323.66,3960.7,-794.85,23,58726.31,125.46%
210,1640999048000,15m,Down,5,3,Close,7193.3,5183.88,2282.61,-1279.25,21,25710.93,279.78%
144,1640999048000,15m,Up,1,3,Close,7174.82,4520.04,1131.75,-83.45,10,29358.98,244.38%
163,1640999048000,15m,Up,5,3,High,6901.33,4518.39,1553.14,-1176.52,17,19182.43,359.77%
227,1640999048000,1h,Up,2,7,High,6776.15,1177.48,3445.48,-425.84,23,58726.31,115.39%
150,1640999048000,15m,Up,2,3,Close,6728.74,4518.48,1131.75,-287.24,13,39218.32,171.57%
247,1640999048000,1h,Any,2,3,High,6590.47,2538.99,3376.7,-997.07,23,67961.65,96.97%
187,1640999048000,15m,Any,5,3,High,6381.11,9706.13,3383.7,-2095.49,61,72832.56,87.61%
228,1640999048000,1h,Up,3,3,Close,6342.06,1177.7,1167.7,-606.28,13,14379.29,441.06%
387,1609463048000,1h,Any,1,5,High,6274.08,4965.1,5845.33,-1006.57,17,65636.58,95.59%
255,1640999048000,1h,Any,3,5,High,6213.56,2539.18,8195.8,-1311.36,50,113352.86,54.82%
222,1640999048000,1h,Up,2,3,Close,6063.54,1177.84,1167.7,-441.54,11,12016.49,504.60%
381,1609463048000,1h,Up,5,5,High,5896.5,2324.4,21643.52,-2771.31,25,50795.27,116.08%
225,1640999048000,1h,Up,2,5,High,5895.15,1177.92,3445.48,-425.84,23,58726.31,100.38%
323,1609463048000,15m,Any,2,7,High,5892.94,19923.36,13080.66,-1090.87,42,63942.45,92.16%
253,1640999048000,1h,Any,3,3,High,5861.93,2539.36,3622.79,-1311.36,40,87748.44,66.80%
270,1640999048000,1h,Down,2,3,Close,5543.69,1358.65,1499.3,-603.47,14,41375.61,133.98%
275,1640999048000,1h,Down,2,7,High,5527.59,1358.66,5463.48,-463.84,25,63894.01,86.51%
212,1640999048000,15m,Down,5,5,Close,5474.11,5184.74,3408.8,-1279.25,45,53216.34,102.87%
165,1640999048000,15m,Up,5,5,High,4980.76,4519.35,3701.44,-1176.52,39,44167.78,112.77%
205,1640999048000,15m,Down,3,3,High,4890.88,5185.03,2282.61,-606.83,19,25211.86,193.99%
273,1640999048000,1h,Down,2,5,High,4612.39,1359.12,1446.21,-463.84,15,41771.73,110.42%
423,1609463048000,1h,Down,3,5,High,4575.58,2638.61,7303.56,-1510.81,29,65456.12,69.90%
391,1609463048000,1h,Any,2,3,High,4566.67,4965.96,4664.57,-2091.28,23,67961.65,67.19%
185,1640999048000,15m,Any,3,7,High,4524.72,9707.05,12106.06,-914.88,61,149490.47,30.27%
223,1640999048000,1h,Up,2,3,High,4041.9,1178.85,1167.7,-441.54,11,12016.49,336.36%
419,1609463048000,1h,Down,2,7,High,3688.52,2639.05,5463.48,-1203.3,25,63894.01,57.73%
239,1640999048000,1h,Up,5,7,High,3620.27,1179.06,8227.11,-1219.37,35,49776.39,72.73%
385,1609463048000,1h,Any,1,3,High,3518.16,4966.48,4180.69,-1006.57,17,65636.58,53.60%
299,1609463048000,15m,Up,2,7,High,3516.79,9281.55,7997.3,-345.77,21,32026.56,109.81%
207,1640999048000,15m,Down,3,5,High,3469.74,5185.74,3043.49,-606.83,27,29869.67,116.16%
271,1640999048000,1h,Down,2,3,High,3244.08,1359.8,1499.3,-586.61,14,41375.61,78.41%
415,1609463048000,1h,Down,2,3,High,3174.63,2639.31,3356.24,-1203.3,15,34741.26,91.38%
395,1609463048000,1h,Any,2,7,High,3105.58,4966.69,7047.43,-1585.63,49,124921.11,24.86%
393,1609463048000,1h,Any,2,5,High,2987.26,4966.75,8479.96,-2091.28,31,98040.45,30.47%
367,1609463048000,1h,Up,2,3,High,2763.95,2325.96,2698.92,-794.85,11,12016.49,230.01%
235,1640999048000,1h,Up,5,3,High,2735.54,1179.5,1342.99,-1105.35,18,19617.71,139.44%
349,1609463048000,15m,Down,3,3,High,2686.42,10647.01,2282.61,-1482.12,19,25211.86,106.55%
199,1640999048000,15m,Down,2,3,High,2443.75,5188.05,1393.83,-372.74,15,17721.41,137.90%
243,1640999048000,1h,Any,1,5,High,2311.35,2541.13,1374.34,-416.33,17,46369.77,49.85%
409,1609463048000,1h,Down,1,3,High,2287.38,2639.75,2341.44,-552.47,10,27468.48,83.27%
397,1609463048000,1h,Any,3,3,High,2157.65,4967.16,7004.15,-2849.98,40,87748.44,24.59%
413,1609463048000,1h,Down,1,7,High,1996.9,2639.9,2709.88,-552.47,12,38638.06,51.68%
369,1609463048000,1h,Up,2,5,High,1922.64,2326.38,3960.7,-794.85,23,58726.31,32.74%
245,1640999048000,1h,Any,1,7,High,1882.26,2541.35,1374.34,-416.33,17,46369.77,40.59%
16,1672535048000,15m,Up,3,7,Close,1867.44,636.11,2206.41,-150.78,21,33914.61,55.06%
267,1640999048000,1h,Down,1,5,High,1828.21,1360.51,1178.66,-173.57,10,27468.48,66.56%
181,1640999048000,15m,Any,3,3,High,1796.02,9708.42,3383.7,-1062.53,44,66877.97,26.86%
201,1640999048000,15m,Down,2,5,High,1740.11,5188.4,1977.96,-372.74,19,54362.46,32.01%
301,1609463048000,15m,Up,3,3,High,1690.66,9287.84,1564.49,-910.35,21,61892.46,27.32%
269,1640999048000,1h,Down,1,7,High,1306.48,1360.77,1178.66,-173.57,10,27468.48,47.56%
411,1609463048000,1h,Down,1,5,High,1230.45,2640.28,1737.01,-552.47,12,38638.06,31.85%
211,1640999048000,15m,Down,5,3,High,1142.82,5186.9,2282.61,-1279.25,21,25710.93,44.45%
305,1609463048000,15m,Up,3,7,High,1126.82,9280.96,7997.3,-889.35,27,87339.63,12.90%
325,1609463048000,15m,Any,3,3,High,1046.0,19936.51,8078.49,-2835.62,44,66877.97,15.64%
217,1640999048000,1h,Up,1,3,High,1000.86,1180.37,610.03,-211.07,7,10592.45,94.49%
100,1672535048000,1h,Any,1,7,Close,947.7,313.74,682.41,-134.79,12,18345.74,51.66%
26,1672535048000,15m,Any,1,5,Close,933.12,1401.81,1400.08,-61.38,24,35125.56,26.57%
229,1640999048000,1h,Up,3,3,High,893.41,1180.42,1167.7,-606.28,11,12016.49,74.35%
265,1640999048000,1h,Down,1,3,High,870.82,1360.99,1178.66,-173.57,10,27468.48,31.70%
203,1640999048000,15m,Down,2,7,High,854.16,5188.84,2151.47,-262.56,19,54362.46,15.71%
