,symbol,sl_per,ep_per,sl_det,Profit,Fee,Max_Profit,Max_Loss,Max_Entry,Max_Position,Profit_%,Win_Rate,PF_Ratio,Max_Drawdown
82,injusdt,1.007,0.999,Close,885.28,55.93,65.72,-23.64,15,3000.0,295.09%,71.53%,15.83,8.09
175,linausdt,1.003,0.99,High,880.27,114.3,274.4,-63.47,26,5200.0,169.28%,55.38%,7.7,-13.56
254,adausdt,1.011,0.99,Close,872.48,263.23,278.58,-92.16,26,5200.0,167.78%,63.60%,3.31,-80.87
167,linausdt,0.999,0.99,High,869.73,114.31,274.4,-53.46,18,3600.0,241.59%,52.60%,7.61,-5.47
67,injusdt,0.999,0.999,High,864.89,55.94,65.72,-31.76,9,1800.0,480.49%,60.67%,15.46,8.09
236,adausdt,1.003,0.995,Close,861.05,131.3,178.03,-50.71,20,4000.0,215.26%,61.54%,6.56,-10.47
66,injusdt,0.999,0.999,Close,858.11,55.94,65.72,-20.96,9,1800.0,476.73%,65.33%,15.34,8.09
101,imxusdt,0.999,0.995,High,856.36,80.93,88.76,-51.43,18,3600.0,237.88%,57.23%,10.58,6.36
54,crvusdt,1.007,0.99,Close,850.61,161.29,97.83,-97.7,24,4800.0,177.21%,58.49%,5.27,-8.03
62,crvusdt,1.011,0.99,Close,850.32,161.29,97.83,-97.7,24,4800.0,177.15%,59.52%,5.27,-8.32
74,injusdt,1.003,0.999,Close,845.49,55.95,65.72,-20.96,9,1800.0,469.71%,67.57%,15.11,8.09
110,imxusdt,1.003,0.99,Close,843.63,140.71,150.61,-66.75,29,5800.0,145.45%,58.48%,6.0,5.38
91,injusdt,1.011,0.999,High,839.95,55.95,65.72,-39.35,15,3000.0,279.98%,71.83%,15.01,8.09
83,injusdt,1.007,0.999,High,830.27,55.96,65.72,-36.82,15,3000.0,276.76%,70.14%,14.84,8.09
190,linausdt,1.011,0.99,Close,827.14,114.33,274.4,-67.35,26,5200.0,159.06%,59.67%,7.23,-15.53
75,injusdt,1.003,0.999,High,825.58,55.96,65.72,-34.29,9,1800.0,458.65%,66.22%,14.75,8.09
119,imxusdt,1.007,0.99,High,823.52,140.72,150.61,-91.72,29,5800.0,141.99%,58.18%,5.85,-51.6
126,imxusdt,1.011,0.99,Close,815.03,140.72,150.61,-79.95,29,5800.0,140.52%,59.81%,5.79,-28.33
238,adausdt,1.003,0.99,Close,803.95,263.27,206.77,-88.46,24,4800.0,167.49%,58.80%,3.05,-51.53
7,ethusdt,0.999,0.99,High,802.01,264.07,123.7,-42.59,36,7200.0,111.39%,49.05%,3.04,-39.86
100,imxusdt,0.999,0.995,Close,801.61,80.96,88.76,-36.34,18,3600.0,222.67%,62.65%,9.9,6.36
118,imxusdt,1.007,0.99,Close,800.67,140.73,150.61,-86.55,29,5800.0,138.05%,58.64%,5.69,-12.24
195,ftmusdt,0.999,0.999,High,788.02,50.98,134.6,-26.08,15,3000.0,262.67%,59.54%,15.46,-4.66
284,avaxusdt,1.011,0.995,Close,780.76,90.76,71.95,-69.39,17,3400.0,229.63%,68.26%,8.6,-0.77
269,avaxusdt,1.003,0.995,High,773.92,90.77,71.95,-65.12,17,3400.0,227.62%,62.29%,8.53,-0.77
86,injusdt,1.007,0.99,Close,769.48,180.13,87.92,-247.11,22,4400.0,174.88%,64.36%,4.27,-9.62
94,injusdt,1.011,0.99,Close,764.22,180.13,87.92,-247.11,24,4800.0,159.21%,65.56%,4.24,-12.41
37,crvusdt,0.999,0.995,High,764.13,88.37,74.9,-37.3,15,3000.0,254.71%,57.56%,8.65,-4.66
108,imxusdt,1.003,0.995,Close,760.64,80.98,88.76,-36.34,18,3600.0,211.29%,61.11%,9.39,6.36
191,linausdt,1.011,0.99,High,760.32,114.36,274.4,-92.69,26,5200.0,146.22%,59.12%,6.65,-14.95
46,crvusdt,1.003,0.99,Close,758.45,161.34,97.83,-97.7,22,4400.0,172.38%,57.34%,4.7,-7.26
285,avaxusdt,1.011,0.995,High,756.75,90.78,71.95,-69.39,17,3400.0,222.57%,67.66%,8.34,-0.77
127,imxusdt,1.011,0.99,High,753.78,140.75,150.61,-113.53,29,5800.0,129.96%,59.81%,5.36,-75.25
117,imxusdt,1.007,0.995,High,750.71,80.98,117.64,-69.46,18,3600.0,208.53%,60.38%,9.27,4.02
116,imxusdt,1.007,0.995,Close,750.21,80.98,117.64,-43.21,18,3600.0,208.39%,61.01%,9.26,6.36
124,imxusdt,1.011,0.995,Close,744.34,80.99,117.64,-38.82,18,3600.0,206.76%,62.82%,9.19,6.36
268,avaxusdt,1.003,0.995,Close,741.12,90.78,71.95,-69.39,17,3400.0,217.98%,63.43%,8.16,-0.77
261,avaxusdt,0.999,0.995,High,740.53,90.78,71.95,-57.68,17,3400.0,217.80%,59.56%,8.16,-0.77
