,start_time,interval,kd_direction,sl_atr,tp_atr,sl_determine,Profit,Fee,Max_Profit,Max_Loss,Max_Entry,Max_Position,Profit_%
512,1609492611000,1h,Up,2,3,Close,7562.84,2323.56,2698.92,-794.85,11,12016.49,629.37%
287,1641028611000,15m,Down,5,6,High,7486.44,5192.57,5847.76,-1279.25,57,66219.65,113.05%
516,1609492611000,1h,Up,2,5,Close,7367.8,2323.66,3960.7,-794.85,23,58726.31,125.46%
305,1641028611000,1h,Any,4,3,High,7339.02,2538.62,3392.44,-1953.26,40,87748.44,83.64%
280,1641028611000,15m,Down,5,3,Close,7275.5,5192.67,2282.61,-1279.25,21,25710.93,282.97%
299,1641028611000,1h,Any,3,4,High,7096.31,2538.74,8195.8,-1311.36,50,113352.86,62.60%
327,1641028611000,1h,Up,2,6,High,7073.67,1177.33,3445.48,-425.84,23,58726.31,120.45%
249,1641028611000,15m,Up,5,3,High,6971.56,4527.16,1553.14,-1176.52,17,19182.43,363.43%
322,1641028611000,1h,Up,2,4,Close,6964.6,1177.39,2805.12,-425.84,12,28963.34,240.46%
528,1609492611000,1h,Up,4,3,Close,6920.16,2323.88,5059.04,-1508.93,25,50795.27,136.24%
251,1641028611000,15m,Up,5,4,High,6839.46,4527.23,2858.58,-1176.52,29,32308.49,211.69%
491,1609492611000,1h,Any,3,4,High,6823.03,4964.83,21714.18,-2849.98,50,113352.86,60.19%
224,1641028611000,15m,Up,2,3,Close,6806.62,4527.25,1131.75,-287.24,13,39218.32,173.56%
351,1641028611000,1h,Up,5,6,High,6793.35,1177.47,8227.11,-1219.37,31,75024.37,90.55%
289,1641028611000,1h,Any,2,3,High,6590.38,2538.99,3376.7,-997.07,23,67961.65,96.97%
217,1641028611000,15m,Any,5,3,High,6532.38,9723.69,3383.7,-2095.49,61,72832.56,89.69%
213,1641028611000,15m,Any,4,5,High,6493.99,9723.71,8040.5,-1411.2,75,86794.18,74.82%
307,1641028611000,1h,Any,4,4,High,6467.84,2539.06,6411.12,-2061.57,50,113352.86,57.06%
533,1609492611000,1h,Up,4,5,High,6462.66,2324.11,21643.52,-1508.93,24,61046.47,105.86%
328,1641028611000,1h,Up,3,3,Close,6341.98,1177.7,1167.7,-606.28,13,14379.29,441.05%
301,1641028611000,1h,Any,3,5,High,6213.45,2539.18,8195.8,-1311.36,50,113352.86,54.82%
359,1641028611000,1h,Down,2,6,High,6157.87,1358.34,5463.48,-463.84,25,63894.01,96.38%
347,1641028611000,1h,Up,5,4,High,6132.73,1177.8,3998.47,-1317.4,18,19617.71,312.61%
320,1641028611000,1h,Up,2,3,Close,6063.5,1177.84,1167.7,-441.54,11,12016.49,504.60%
