,symbol,interval,sl_atr,tp_atr,sl_det,Profit,Fee,Max_Profit,Max_Loss,Max_Entry,Max_Position,Profit_%,Win_Rate,PF_Ratio,Max_Drawdown
94,apeusdt,1h,3.0,12,Close,-2.7,0.03,0.0,-2.06,3,16.36,-164.87%,0.00%,-88.7,-2.7
91,apeusdt,1h,3.0,5,Close,-2.7,0.03,0.0,-2.06,3,16.36,-164.87%,0.00%,-88.7,-2.7
92,apeusdt,1h,3.0,7,Close,-2.7,0.03,0.0,-2.06,3,16.36,-164.87%,0.00%,-88.7,-2.7
93,apeusdt,1h,3.0,9,Close,-2.7,0.03,0.0,-2.06,3,16.36,-164.87%,0.00%,-88.7,-2.7
98,apeusdt,1h,4.0,9,Close,-3.7,0.03,0.0,-2.41,3,16.36,-226.31%,0.00%,-123.81,-3.7
96,apeusdt,1h,4.0,5,Close,-3.7,0.03,0.0,-2.41,3,16.36,-226.31%,0.00%,-123.81,-3.7
97,apeusdt,1h,4.0,7,Close,-3.7,0.03,0.0,-2.41,3,16.36,-226.31%,0.00%,-123.81,-3.7
99,apeusdt,1h,4.0,12,Close,-3.7,0.03,0.0,-2.41,3,16.36,-226.31%,0.00%,-123.81,-3.7
139,avaxusdt,1h,2.0,12,Close,-3.77,0.22,1.07,-2.31,3,54.55,-69.07%,33.33%,-16.98,-4.82
116,avaxusdt,15m,3.0,5,Close,-3.97,2.82,6.99,-7.5,4,328.66,-12.08%,40.00%,-1.41,-10.57
138,avaxusdt,1h,2.0,9,Close,-4.04,0.22,0.81,-2.31,3,54.55,-73.99%,33.33%,-18.2,-4.82
137,avaxusdt,1h,2.0,7,Close,-4.21,0.22,0.63,-2.31,3,54.55,-77.27%,33.33%,-19.01,-4.82
136,avaxusdt,1h,2.0,5,Close,-4.39,0.22,0.45,-2.31,3,54.55,-80.55%,33.33%,-19.83,-4.82
121,avaxusdt,15m,4.0,5,Close,-4.46,2.82,14.08,-20.57,4,328.66,-13.56%,45.45%,-1.58,-20.29
114,avaxusdt,15m,2.0,12,Close,-7.35,2.82,10.07,-4.51,5,422.71,-17.38%,16.33%,-2.61,-19.04
144,avaxusdt,1h,3.0,12,Close,-8.2,0.22,1.07,-4.83,3,54.55,-150.23%,16.67%,-37.3,-9.25
143,avaxusdt,1h,3.0,9,Close,-8.46,0.22,0.81,-4.83,3,54.55,-155.16%,16.67%,-38.55,-9.25
142,avaxusdt,1h,3.0,7,Close,-8.64,0.22,0.63,-4.83,3,54.55,-158.44%,16.67%,-39.38,-9.25
141,avaxusdt,1h,3.0,5,Close,-8.82,0.22,0.45,-4.83,3,54.55,-161.72%,16.67%,-40.21,-9.25
120,avaxusdt,15m,4.0,3,Close,-9.05,2.82,4.22,-20.57,4,328.66,-27.52%,57.45%,-3.21,-23.68
149,avaxusdt,1h,4.0,12,Close,-11.7,0.22,1.07,-5.88,3,54.55,-214.55%,16.67%,-53.7,-12.76
113,avaxusdt,15m,2.0,9,Close,-11.84,2.81,7.55,-4.51,5,422.71,-28.02%,16.00%,-4.21,-19.13
148,avaxusdt,1h,4.0,9,Close,-11.97,0.22,0.81,-5.88,3,54.55,-219.47%,16.67%,-54.96,-12.76
147,avaxusdt,1h,4.0,7,Close,-12.15,0.22,0.63,-5.88,3,54.55,-222.75%,16.67%,-55.81,-12.76
146,avaxusdt,1h,4.0,5,Close,-12.33,0.22,0.45,-5.88,3,54.55,-226.03%,16.67%,-56.65,-12.76
112,avaxusdt,15m,2.0,7,Close,-13.6,2.81,5.88,-4.51,5,422.71,-32.18%,19.61%,-4.83,-19.04
119,avaxusdt,15m,3.0,12,Close,-35.6,2.8,10.07,-21.06,5,422.71,-84.21%,25.00%,-12.7,-46.53
118,avaxusdt,15m,3.0,9,Close,-40.73,2.8,7.55,-21.06,5,422.71,-96.35%,24.39%,-14.54,-49.05
117,avaxusdt,15m,3.0,7,Close,-42.24,2.8,5.88,-21.06,5,422.71,-99.92%,27.27%,-15.09,-48.94
